"","id","study_code","exp1","exp2","exp3","exp4","exp5","dob","dot1","dot2","dot3","female","dad","train","Baseline_Proportion_Gaze_to_Singer","Familiarization_Gaze_to_Familiar","Familiarization_Gaze_to_Unfamiliar","Test_Proportion_Gaze_to_Singer","Difference_in_Proportion_Looking","Estimated_Total_Number_of_Song","totskypesing","stim","othersing","comply_no","module","skype_before","ammat","ammar","ammatot","ammapr","ipad_num","famtot_6","unfamtot_6","totprac","totw","totnw","age","length","delay","mtotsing","mbabylike","msingcomf","mtotrecord","m_othersong","pright","diarymissing","comply_fup","survey_completion","smsingrate","smtalkrate","gzsingrate","gztalkrate","famtot","unfamtot","totsing1","babylike1","singcomf1","totrecord1","othersong1","dtword1","dtnoword1","totsing2","babylike2","singcomf2","totrecord2","othersong2","dtword2","dtnoword2","totsing3","babylike3","singcomf3","totrecord3","othersong3","dtword3","dtnoword3","totsing4","babylike4","singcomf4","totrecord4","othersong4","dtword4","dtnoword4","totsing5","babylike5","singcomf5","totrecord5","othersong5","dtword5","dtnoword5","totsing6","babylike6","singcomf6","totrecord6","othersong6","dtword6","dtnoword6","totsing7","babylike7","singcomf7","totrecord7","othersong7","dtword7","dtnoword7","totsing8","babylike8","singcomf8","totrecord8","othersong8","dtword8","dtnoword8","totsing9","babylike9","singcomf9","totrecord9","othersong9","dtword9","dtnoword9","totsing10","babylike10","singcomf10","totrecord10","othersong10","dtword10","dtnoword10","totsing11","babylike11","singcomf11","totrecord11","othersong11","dtword11","dtnoword11","totsing12","babylike12","singcomf12","totrecord12","othersong12","dtword12","dtnoword12","totsing13","babylike13","singcomf13","totrecord13","othersong13","dtword13","dtnoword13","totsing14","babylike14","singcomf14","totrecord14","othersong14","dtword14","dtnoword14","filter_."
"1",101,"""LUL""",1,0,0,NA,NA,"09-Oct-12","29-Mar-13","05-Apr-13"," ",0,0,2,0.4371257,248,419,0.6027398,0.165614,35,NA,"""C1""",0,NA,"""""",NA,17,26,43,26,NA,NA,NA,15.49416,793.392,0,5.848049,7,NA,5,3,3.857143,0.5714286,3.285714,0.8,0,1,1,NA,NA,NA,NA,NA,NA,7,3,3,0,6,293.0226,91.92855,5,3,4,0,8,53.27683,25.58346,5,3,4,0,0,79.91525,0,5,3,4,0,9,159.6061,18.74565,4,3,4,2,0,78.93342,0,5,3,4,2,0,76.71582,0,4,3,4,0,0,0,0,NA,NA,NA,NA,NA,51.92201,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,1
"2",102,"""LUL""",1,0,0,NA,NA,"16-Nov-12","10-May-13","17-May-13"," ",0,1,1,0.4125326,406,307,0.6830266,0.270494,239,NA,"""C1""",1,NA,"""""",NA,27,28,55,62,NA,NA,NA,5.421422,153.7889,0,5.979466,7,NA,34.14286,2.142857,4,22.28572,1.714286,0.8,0,1,1,NA,NA,NA,NA,NA,NA,6,2,4,20,0,55.80707,25.28744,25,2,4,50,12,24.16411,0,50,3,4,30,0,0,0,30,2,4,16,0,0,0,40,2,4,30,0,0,0,50,2,4,5,0,24.7315,0,38,2,4,5,0,49.08626,146.209,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,1
"3",103,"""LUL""",1,0,0,NA,NA,"26-Nov-12","11-May-13","20-May-13"," ",0,0,1,0.754491,154,218,0.7241379,-0.0303531,102,NA,"""C2""",0,NA,"""""",NA,31,34,65,84,NA,NA,NA,5.451066,0,223.847,5.749486,9,NA,11.33333,1.333333,3,0,0,0.96,3,1,0.6666667,NA,NA,NA,NA,NA,NA,8,2,3,0,0,24.555,78.63,25,1,4,0,0,24.555,145.217,8,2,3,0,0,0,0,15,1,2,0,0,23.962,0,6,1,3,0,0,0,0,6,1,3,0,0,0,0,NA,NA,NA,NA,NA,30.145,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,1
"4",104,"""LUL""",1,0,0,NA,NA,"19-Nov-12","11-May-13","18-May-13"," ",1,0,2,0.4388778,502,666,0.2816538,-0.157224,27,NA,"""C3""",1,NA,"""""",NA,25,24,49,44,NA,NA,NA,22.339,1163.583,0,5.913758,7,NA,3.857143,3.428571,2.428571,0.4285714,0,1,0,1,1,NA,NA,NA,NA,NA,NA,3,4,2,0,0,13.81173,76.20277,6,3,3,2,0,384.781,0,6,4,3,0,0,185.3951,100.5546,0,3,2,0,0,321.9076,0,4,3,3,0,0,26.45007,0,4,3,2,1,0,79.3502,0,4,4,2,0,0,106.1017,0,NA,NA,NA,NA,NA,45.78514,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,1
"5",105,"""LUL""",1,0,0,NA,NA,"29-Nov-12","15-May-13","29-May-13"," ",1,0,2,0.474645,311,245,0.4985423,0.0238973,60,NA,"""C4""",0,NA,"""""",NA,29,28,57,68,NA,NA,NA,2.793547,157.9989,0,5.946612,14,NA,4.285714,3.142857,4.071429,4.428571,0,1,0,1,1,NA,NA,NA,NA,NA,NA,8,2,3,2,0,131.3605,9.613913,5,3,4,0,0,26.63842,0,6,3,4,0,0,0,0,6,3,4,12,0,0,0,5,4,5,10,0,0,0,6,4,5,0,0,0,0,4,4,4,3,0,0,0,3,3,4,4,0,0,0,4,3,4,0,0,0,0,3,3,4,6,0,0,0,4,3,4,6,0,0,0,2,3,4,4,0,0,0,0,3,4,15,0,0,0,4,3,4,0,0,0,0,1
"6",106,"""LUL""",1,0,0,NA,NA,"05-Dec-12","16-May-13","29-May-13"," ",0,0,2,0.8709016,639,533,0.9509202,0.0800186,126,NA,"""C5""",0,NA,"""""",NA,33,33,66,86,NA,NA,NA,10.28441,317.7464,0,5.749486,13,NA,9.692307,3.923077,4.615385,3.769231,2.153846,0.64,0,1,1,NA,NA,NA,NA,NA,NA,9,4,4,20,0,26.45007,0,12,4,5,6,0,79.33268,127.4757,10,3,4,0,0,52.89915,50.00899,9,4,5,8,0,26.45007,25.56155,8,4,5,0,0,0,0,7,4,4,0,0,26.55729,45.15263,10,4,4,1,0,53.07892,25.54979,7,4,5,0,0,0,0,16,4,5,12,0,0,0,8,4,4,0,0,0,0,12,4,5,0,28,0,0,8,4,5,2,0,0,0,10,4,5,0,0,52.97826,25.5694,NA,NA,NA,NA,NA,0,0,1
"7",107,"""LUL""",1,0,0,NA,NA,"13-Dec-12","17-May-13","29-May-13"," ",1,0,1,0.236715,28,460,0.4177546,0.1810396,134.6667,NA,"""C6""",2,NA,"""""",NA,28,33,61,76,NA,NA,NA,15.65549,0,259.2986,5.486653,12,NA,11.22222,2.888889,4.111111,3,9.444445,0.96,3,1,0.75,NA,NA,NA,NA,NA,NA,12,3,3,2,8,171.8019,81.36234,8,3,4,4,7,196.3433,177.9362,16,4,4,5,0,90.86707,0,10,2,3,0,21,73.66531,0,12,2,4,0,13,73.68774,0,10,3,5,5,9,0,0,6,3,4,2,10,0,0,15,3,5,5,10,0,0,12,3,5,4,7,24.5551,0,NA,NA,NA,NA,NA,49.1102,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,1
"8",108,"""LUL""",1,0,0,NA,NA,"07-Dec-12","17-May-13","31-May-13"," ",0,0,1,0.7592593,537,440,0.9382023,0.178943,63.77777,NA,"""C7""",2,NA,"""""",NA,30,28,58,70,NA,NA,NA,9.270391,556.2234,0,5.749486,14,NA,4.555555,3.888889,3.666667,8,0,0.84,5,1,0.6428571,NA,NA,NA,NA,NA,NA,5,3,3,10,0,293.8942,0,7,3,4,15,0,24.57818,0,4,4,4,20,0,0,0,4,4,3,2,0,0,0,3,4,3,3,0,24.55023,0,4,4,4,3,0,0,0,4,5,4,6,0,0,0,5,4,4,3,0,0,0,5,4,4,10,0,139.5715,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,73.62939,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,1
"9",109,"""LUL""",1,0,0,NA,NA,"24-Nov-12","20-May-13","29-May-13"," ",0,0,2,0.4163347,269,520,0.5,0.0836653,44,NA,"""C8""",0,NA,"""""",NA,19,27,46,35,NA,NA,NA,4.592237,0,249.0842,6.110883,9,NA,4.888889,3.111111,3.222222,2.222222,7.666667,0.52,0,1,1,NA,NA,NA,NA,NA,NA,5,2,2,4,16,26.45007,198.0267,10,3,2,0,15,0,51.05744,5,3,3,3,14,0,0,4,3,3,2,12,0,0,4,4,4,0,0,0,0,4,4,4,0,12,0,0,3,3,4,0,0,0,0,4,3,4,5,0,0,0,5,3,3,6,0,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,1
"10",110,"""LUL""",1,0,0,NA,NA,"21-Dec-12","28-May-13","04-Jun-13"," ",1,0,1,0.7995338,629,649,0.5862944,-0.2132394,55,NA,"""C1""",0,NA,"""""",NA,27,29,56,65,NA,NA,NA,1.005501,60.33006,0,5.420945,7,NA,7.857143,4.142857,4.857143,2.857143,2.428571,0.92,0,1,1,NA,NA,NA,NA,NA,NA,15,5,4,4,0,49.463,0,10,4,5,2,17,10.86706,0,10,4,5,3,0,0,0,5,4,5,0,0,0,0,5,4,5,3,0,0,0,5,4,5,3,0,0,0,5,4,5,5,0,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,1
"11",111,"""LUL""",1,0,0,NA,NA,"06-Dec-12","30-May-13","10-Jun-13"," ",1,0,2,0.3786765,437,524,0.4726225,0.093946,88,NA,"""C2""",1,NA,"""""",NA,28,25,53,56,NA,NA,NA,0.0292358,1.754148,0,6.110883,11,NA,8,4.222222,4.666667,3.222222,0,0.8,2,1,0.8181818,NA,NA,NA,NA,NA,NA,15,3,4,0,0,1.754148,0,8,4,4,6,0,0,0,12,4,4,6,0,0,0,5,4,5,3,0,0,0,6,4,5,2,0,0,0,8,5,5,2,0,0,0,5,5,5,0,0,0,0,9,5,5,10,0,0,0,4,4,5,0,0,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,1
"12",112,"""LUL""",1,0,0,NA,NA,"23-Oct-12","03-Apr-13","10-Apr-13"," ",1,1,1,0.6978922,603,0,0.5083799,-0.1895124,53.66666,NA,"""C2""",0,NA,"""""",NA,22,22,44,29,NA,NA,NA,0.4121917,24.7315,0,5.552361,7,NA,7.666667,2.666667,3.833333,13.33333,0,0.96,1,1,0.8571429,NA,NA,NA,NA,NA,NA,10,2,3,15,0,24.7315,0,7,2,4,15,0,0,0,4,2,4,30,0,0,0,0,3,4,15,0,0,0,15,4,4,0,0,0,0,10,3,4,5,0,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,1
"13",113,"""LUL""",1,0,0,NA,NA,"13-Dec-12","30-May-13","06-Jun-13"," ",1,0,1,0.5934066,546,613,0.8111888,0.2177822,59.5,NA,"""C3""",0,NA,"""""",NA,20,25,45,32,NA,NA,NA,2.795225,167.7135,0,5.749486,7,NA,8.5,3.5,4.333333,1.666667,19.83333,1,1,1,0.8571429,NA,NA,NA,NA,NA,NA,10,3,4,3,0,122.7755,0,5,3,3,2,21,0,0,7,3,4,1,18,20.38289,0,10,4,5,0,29,0,0,12,4,5,2,26,24.5551,0,7,4,5,2,25,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,1
"14",114,"""LUL""",1,0,0,NA,NA,"12-Dec-12","30-May-13","06-Jun-13"," ",1,0,2,0.6149068,625,532,0.5718015,-0.0431053,94,NA,"""C4""",0,NA,"""""",NA,20,22,42,23,NA,NA,NA,2.809817,92.104,0,5.782341,7,NA,13.42857,5,4.285714,7.428571,0,0.68,0,1,1,NA,NA,NA,NA,NA,NA,15,5,4,15,0,18.276,25.495,8,5,4,2,0,31.861,50.99,8,5,4,10,0,23.053,0,15,5,4,12,0,9.828,0,20,5,4,5,0,9.086,0,20,5,5,3,0,0,0,8,5,5,5,0,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,1
